Gene,Group,Z_Nerve_Tibial_DR,P_Nerve_Tibial_DR,SNPs_Model_Nerve_Tibial_DR,Z_Nerve_Tibial_DN,P_Nerve_Tibial_DN,SNPs_Model_Nerve_Tibial_DN,Z_Nerve_Tibial_DPN,P_Nerve_Tibial_DPN,SNPs_Model_Nerve_Tibial_DPN,Z_Whole_Blood_DR,P_Whole_Blood_DR,SNPs_Model_Whole_Blood_DR,Z_Whole_Blood_DN,P_Whole_Blood_DN,SNPs_Model_Whole_Blood_DN,Z_Whole_Blood_DPN,P_Whole_Blood_DPN,SNPs_Model_Whole_Blood_DPN,Z_Multi_DR,P_Multi_DR,FDR_Multi_DR,Z_Multi_DN,P_Multi_DN,FDR_Multi_DN,Z_Multi_DPN,P_Multi_DPN,FDR_Multi_DPN,P_ACAT_O_DR,FDR_ACAT_O_DR,P_ACAT_O_DN,FDR_ACAT_O_DN,P_ACAT_O_DPN,FDR_ACAT_O_DPN
HSPB1,NonCandidate,,,,,,,,,,4.4436,8.844594562817652e-06,2.0,3.7658,0.0001660043172329,2.0,2.113,0.0346027048930754,2.0,4.4436,8.846600938815822e-06,2.7955258966658e-05,3.7658,0.0001660166490357,0.0005464714697427,2.113,0.0346007678810783,0.065082396728695,8.844594562795738e-06,2.9113457102535968e-05,0.0001660043172328,0.0004857163356072,0.0346027048930753,0.0650860401560227
HSPD1,NonCandidate,,,,,,,,,,-0.008,0.9935996988924316,1.0,-1.6072,0.1080210028878937,1.0,-0.9007,0.3677357832089393,1.0,-0.008,0.9936169915990728,0.9936169915990728,-1.6072,0.1080105020516536,0.1815495672783114,-0.9007,0.3677478486930258,0.5187871436919471,0.9935996988924316,0.9935996988924316,0.1080210028878936,0.1641088313104538,0.3677357832089393,0.4762479815328886
MFAP1,NonCandidate,,,,,,,,,,3.4332,0.0005964263271544,1.0,3.2953,0.0009832034577248,1.0,-1.1947,0.2322161956234377,1.0,3.4332,0.0005965019136714,0.0015201177800013,3.2953,0.0009831665943134,0.0028766726278061,-1.1947,0.2322042624659385,0.3668827346961829,0.0005964263271543,0.0015199251562966,0.0009832034577247,0.0026783818331123,0.2322161956234377,0.3401300047417614
MYH9,NonCandidate,1.2981,0.194241262312767,2.0,-0.2435,0.8075886989125209,2.0,-0.5727,0.5668343291494131,2.0,,,,,,,,,,1.2981,0.1942529743238336,0.2692278065189974,-0.2435,0.8076180851085512,0.8622401153518118,-0.5727,0.5668478374644073,0.7098898052579218,0.194241262312767,0.2645699952191137,0.8075886989125209,0.8394672001853836,0.5668343291494131,0.6784835151939945
NCL,NonCandidate,,,,,,,,,,-2.8117,0.0049285932301758,3.0,-1.6943,0.0902151735942372,3.0,-0.1161,0.9075988463759272,3.0,-2.8117,0.0049280442854106,0.0111232999584982,-1.6943,0.0902082905831251,0.1657315106062065,-0.1161,0.9075732888147894,0.9311466209917968,0.0049285932301758,0.0108155240328857,0.0902151735942372,0.1484791398738487,0.9075988463759272,0.937762133497109
PCBP2,NonCandidate,,,,,,,,,,0.5645,0.5723927168299183,1.0,-0.9323,0.3511735260864709,1.0,0.5974,0.5502442477925433,1.0,0.5645,0.5724139001526789,0.6460099730294518,-0.9323,0.3511815077308258,0.4702260866226311,0.5974,0.5502403537427232,0.7098898052579218,0.5723927168299183,0.6553481830371528,0.3511735260864709,0.4623784760138533,0.5502442477925433,0.6687583934709372
PDIA3,NonCandidate,13.5157,1.263297564581744e-41,1.0,7.8624,3.7677718508983806e-15,1.0,9.9541,2.4196321627894746e-23,1.0,1.6521,0.0985069874472668,2.0,1.3674,0.1715046854629615,2.0,1.0609,0.2887526112503288,2.0,10.2252,1.52980776649243e-24,1.5106851694112748e-23,6.2516,4.0631820963376055e-10,1.7832854756148383e-09,7.4143,1.2225692391379765e-13,8.048580824325011e-13,2.1094237467877974e-15,1.6664447599623602e-14,7.993605777301127e-15,4.8576527415906857e-14,2.1094237467877974e-15,1.1109631733082401e-14
PDIA6,NonCandidate,,,,,,,,,,0.1573,0.8750292398221453,1.0,0.7765,0.4374334220831157,1.0,0.1549,0.8769380313527677,1.0,0.1573,0.8750084202588184,0.9095482263216664,0.7765,0.4374538208105655,0.5574008361941076,0.1549,0.8769001536473681,0.9115146333966064,0.8750292398221453,0.9095698677098616,0.4374334220831157,0.5437975644282723,0.8769380313527677,0.923708059691582
PNN,NonCandidate,-9.5202,1.7291339399375958e-21,1.0,-5.1614,2.451497257956033e-07,1.0,-11.7588,6.362889522549583e-32,1.0,-15.6446,3.61499902787809e-55,2.0,6.7058,2.002514006524205e-11,2.0,-8.8228,1.1158734805202286e-18,2.0,-18.0138,1.5192491514836613e-72,4.000689432240308e-71,1.5727,0.1157770413015704,0.1905497138088346,-14.4099,4.481108372435643e-47,1.770037807112079e-45,9.992007221626409e-16,1.6664447599623602e-14,3.7866432212041445e-11,1.5744463919743547e-10,9.992007221626409e-16,1.1109631733082401e-14
PUF60,NonCandidate,1.5585,0.1191090296569572,1.0,0.8636,0.387812188418737,1.0,1.3391,0.1805535826713341,1.0,1.5585,0.1191090296569571,1.0,0.8636,0.387812188418737,1.0,1.3391,0.1805535826713341,1.0,2.2004,0.0277781509986704,0.0548618482223741,1.2193,0.2227325442870342,0.325849462938439,1.8906,0.0586723895151255,0.1030026393709981,0.1191090296569571,0.1742520989425855,0.387812188418737,0.502248571886561,0.1805535826713341,0.2796810398242234
RPL10A,NonCandidate,-5.4849,4.137869966837443e-08,5.0,-0.7365,0.4614516618625631,5.0,-2.6557,0.0079135213003498,5.0,-107.3873,0.0,3.0,-45.0479,0.0,3.0,-52.7198,0.0,3.0,-83.8238,0.0,0.0,-34.1225,3.4190124043147497e-255,2.7010197994086526e-253,-41.1271,0.0,0.0,1.887379141862766e-15,1.6664447599623602e-14,1.887379141862766e-15,1.3887039666352999e-14,1.887379141862766e-15,1.1109631733082401e-14
RPL13,NonCandidate,-3.1546,0.0016069663486672,2.0,0.0592,0.9527628722585464,2.0,0.4133,0.6793813895697818,2.0,-3.1546,0.0016069663486672,1.0,0.0592,0.9527628722585464,1.0,0.4133,0.6793813895697817,1.0,-4.4539,8.432553123538423e-06,2.775715403164731e-05,0.0836,0.9333880401890632,0.9702323049333684,0.5835,0.5595382895763892,0.7098898052579218,0.0016069663486672,0.0038469800468094,0.9527628722585464,0.9775099598496776,0.6793813895697818,0.7352209558357913
RPL14,NonCandidate,-2.4388,0.0147378328520298,1.0,-0.9844,0.3249067549077422,1.0,-2.0941,0.0362509478572145,1.0,0.8148,0.4152054097184707,2.0,-0.4695,0.6386848414613935,2.0,-1.3889,0.1648771724671104,2.0,-1.0142,0.3105084042314713,0.3832838114732224,-1.0054,0.3146914177887411,0.4439396786662598,-2.4301,0.0150944067573648,0.0313804772061006,0.0307653867246576,0.0540103455832879,0.4863930532678428,0.5821977455781755,0.0622565340243432,0.1046439614451726
RPL17,NonCandidate,-5.8067,6.372589280313798e-09,1.0,-6.27,3.6104903831642356e-10,1.0,0.3135,0.7539310921589095,1.0,-2.9221,0.0034772624255721,1.0,6.8622,6.7787072611554296e-12,1.0,-1.2639,0.206250684079983,1.0,-6.0447,1.4968900339726343e-09,7.390894542739883e-09,0.952,0.3411029769091757,0.4702260866226311,-0.7351,0.4623049255583813,0.6190184596459682,1.352406753252211e-08,6.284713735701451e-08,1.2608136756853128e-11,5.5335711321744286e-11,0.432415784995838,0.5337632346042375
RPL27A,NonCandidate,2.4653,0.0136900793718986,2.0,-0.669,0.5034787163819752,2.0,-2.3643,0.0180653567112382,2.0,0.4733,0.6359972435860786,2.0,0.8632,0.3880020771093462,2.0,-0.9429,0.3457135244550097,2.0,1.9935,0.0462094663441263,0.0793597356779561,0.1994,0.8419580534406685,0.8868624829575041,-2.2769,0.0227932211097699,0.0439186455529714,0.029639068707459,0.0532156006338468,0.4405448623216383,0.5437975644282723,0.0369661677699333,0.0679145872982496
RPL7,NonCandidate,2.1763,0.0295306201222445,1.0,0.6122,0.5404088271853722,1.0,-1.0026,0.316059582323263,1.0,,,,,,,,,,2.1763,0.0295328355511147,0.0555498573461443,0.6122,0.5404054415885091,0.6468489376589731,-1.0026,0.3160538958156703,0.4657660339270856,0.0295306201222444,0.0532156006338468,0.5404088271853722,0.6231592222444213,0.316059582323263,0.4231984237887758
RPL7A,NonCandidate,-0.1196,0.9048136592122616,2.0,-1.9765,0.0481030586934501,2.0,-1.0204,0.3075374273575147,2.0,1.1666,0.2433615243691831,2.0,0.7909,0.4290242172085582,2.0,1.5244,0.1274037159610713,2.0,0.7914,0.4287044365654029,0.4908355143285047,-0.7244,0.4687949561166088,0.578668773956439,0.4593,0.6460479518484885,0.7188420872680366,0.74632252480706,0.818881659163302,0.0960108463479608,0.1516971372297781,0.1800284631222585,0.2796810398242234
RPN1,NonCandidate,-0.3721,0.7098098750153219,3.0,0.3423,0.7321047767076105,3.0,2.9578,0.0030985177068977,3.0,-2.7063,0.0068045970099581,2.0,1.471,0.1412825114330901,2.0,2.7169,0.0065899958623469,2.0,-2.2681,0.0233255101671555,0.0472491103385971,1.326,0.1848508425316802,0.2863375796078969,3.9962,6.437128716339633e-05,0.0002034132674363,0.0130555021639104,0.0264457607935622,0.3075074886155875,0.4117473152649392,0.0043045207354356,0.0106267855656067
RPS3A,NonCandidate,-1.6612,0.0966762711078278,2.0,2.8864,0.0038973826911825,2.0,-6.2233,4.86956112682392e-10,2.0,,,,,,,,,,-1.6612,0.0966732855891517,0.1527437912308596,2.8864,0.0038967655771822,0.009930467116045,-6.2233,4.86805262688111e-10,2.7469725537400554e-09,0.0966762711078277,0.1441023663682716,0.0038973826911825,0.0093300979576793,4.869560865650158e-10,2.024712149401908e-09
